POS_NEW,POS_7DAYAVG,NEG_NEW,NEG_7DAYAVG,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_NEW,HOSP_NO_NEW,HOSP_UNK_NEW,POS_FEM_NEW,POS_MALE_NEW,INCREASE
155,165,1310,1231.29,12,7.86,1465,1396.29,36,59,60,84,71,1
173,174.14,1405,1531.14,9,9,1578,1705.29,44,39,90,87,86,0
138,175.29,1938,1591,15,10.86,2076,1766.29,77,101,-40,78,60,1
178,172.29,1603,1613.71,7,10.71,1781,1786,45,85,48,97,81,0
129,165,1309,1586.71,12,11.43,1438,1751.71,53,79,-3,69,60,1
183,164.57,1801,1549.71,17,13,1984,1714.29,61,93,29,90,93,0
145,157.29,1455,1545.86,9,11.57,1600,1703.14,46,98,1,82,63,0
128,153.43,1236,1535.29,7,10.86,1364,1688.71,24,76,28,74,54,0
87,141.14,853,1456.43,10,11,940,1597.57,19,35,33,50,37,1
127,139.57,1228,1355,16,11.14,1355,1494.57,56,71,0,69,58,1
166,137.86,1329,1315.86,12,11.86,1495,1453.71,42,79,45,94,72,0
154,141.43,1648,1364.29,15,12.29,1802,1505.71,30,90,34,79,75,1
170,139.57,1391,1305.71,8,11,1561,1445.29,32,103,35,97,73,0
154,140.86,1597,1326,6,10.57,1751,1466.86,23,107,24,84,70,0
147,143.57,1361,1343.86,9,10.86,1508,1487.43,14,44,89,75,72,1
153,153,1280,1404.86,10,10.86,1433,1557.86,21,130,2,71,82,0
121,152.14,1238,1406.29,12,10.29,1359,1558.43,41,123,-43,52,69,1
225,160.57,1661,1453.71,4,9.14,1886,1614.29,50,168,7,109,116,0
207,168.14,1954,1497.43,11,8.57,2161,1665.57,16,137,54,92,115,1
304,187.29,3117,1744,5,8.14,3421,1931.29,35,231,38,160,144,1
331,212.57,2565,1882.29,4,7.86,2896,2094.86,23,156,152,143,188,0
224,223.57,2097,1987.43,6,7.43,2321,2211,21,99,104,119,105,0
170,226,2076,2101.14,9,7.29,2246,2327.14,18,150,2,88,82,1
208,238.43,2224,2242,19,8.29,2432,2480.43,41,160,7,92,116,1
231,239.29,3095,2446.86,8,8.86,3326,2686.14,33,137,61,94,137,1
334,257.43,2764,2562.57,8,8.43,3098,2820,23,199,112,168,166,1
460,279.71,3172,2570.43,11,9.29,3632,2850.14,32,261,167,185,275,0
346,281.86,3004,2633.14,7,9.71,3350,2915,47,223,76,162,184,0
304,293.29,2427,2680.29,5,9.57,2731,2973.57,17,144,143,136,168,0
272,307.86,2470,2736.57,1,8.43,2742,3044.43,13,154,105,136,136,1
330,325.29,3500,2918.86,13,7.57,3830,3244.14,42,238,50,171,146,1
335,340.14,3859,3028,9,7.71,4194,3368.14,31,233,71,172,158,0
314,337.29,5209,3377.29,12,8.29,5523,3714.57,38,240,36,136,181,1
375,325.14,4230,3528.43,10,8.14,4605,3853.57,35,205,135,193,179,0
349,325.57,4670,3766.43,14,9.14,5019,4092,39,226,84,179,161,0
280,322.14,3228,3880.86,2,8.71,3508,4203,14,98,168,151,133,0
199,311.71,2870,3938,9,9.86,3069,4249.71,26,104,69,109,85,0
193,292.14,4715,4111.57,9,9.29,4908,4403.71,31,141,21,98,98,1
291,285.86,4363,4183.57,3,8.43,4654,4469.43,31,179,81,153,143,1
373,294.29,5487,4223.29,13,8.57,5860,4517.57,31,227,115,196,174,1
410,299.29,6059,4484.57,11,8.71,6469,4783.86,38,227,145,201,210,1
502,321.14,5549,4610.14,8,7.86,6051,4931.29,41,253,208,279,224,0
356,332,5468,4930.14,0,7.57,5824,5262.14,20,125,211,189,168,0
144,324.14,4828,5209.86,6,7.14,4972,5534,30,77,37,87,56,1
198,324.86,3735,5069.86,8,7,3933,5394.71,42,170,-14,111,87,1
528,358.71,6063,5312.71,14,8.57,6591,5671.43,51,234,243,262,263,0
472,372.86,8938,5805.71,6,7.57,9410,6178.57,57,252,163,236,236,1
511,387.29,9465,6292.29,9,7.29,9976,6679.57,41,233,237,258,249,0
481,384.29,6626,6446.14,11,7.71,7107,6830.43,33,275,173,231,246,0
400,390.57,6877,6647.43,3,8.14,7277,7038,23,133,244,187,199,0
307,413.86,7173,6982.43,4,7.86,7480,7396.29,24,77,206,146,158,0
279,425.43,7495,7519.57,3,7.14,7774,7945,23,72,184,135,143,1
599,435.57,9731,8043.57,22,8.29,10330,8479.14,49,280,270,337,264,0
512,441.29,10114,8211.57,11,9,10626,8652.86,41,331,140,273,242,1
733,473,12869,8697.86,18,10.29,13602,9170.86,47,299,387,367,364,0
523,479,9320,9082.71,20,11.57,9843,9561.71,64,296,163,233,282,0
173,446.57,7195,9128.14,4,11.71,7368,9574.71,20,127,26,104,67,0
140,422.71,3492,8602.29,3,11.57,3632,9025,20,89,31,73,67,1
374,436.29,10148,8981.29,12,12.86,10522,9417.57,40,305,29,194,172,1
483,419.71,15968,9872.29,9,11,16451,10292,57,305,121,189,300,1
492,416.86,11656,10092.57,10,10.86,12148,10509.43,39,279,174,274,220,0
357,363.14,11965,9963.43,7,9.29,12322,10326.57,52,257,48,189,165,0
322,334.43,11470,10270.57,12,8.14,11792,10605,41,240,41,178,145,0
264,347.43,11065,10823.43,2,7.86,11329,11170.86,16,112,136,144,117,0
203,356.43,7386,11379.71,-1,7.29,7589,11736.14,12,111,80,109,93,1
270,341.57,13957,11923.86,15,7.71,14227,12265.43,44,285,-59,129,139,1
285,313.29,9902,11057.29,10,7.86,10187,11370.57,39,245,1,145,143,1
333,290.57,8942,10669.57,11,8,9275,10960.14,33,250,50,187,147,0
320,285.29,11308,10575.71,7,8,11628,10861,27,266,27,175,145,0
272,278.14,11037,10513.86,2,6.57,11309,10792,32,225,15,152,120,0
240,274.71,8967,10214.14,1,6.43,9207,10488.86,14,116,110,131,109,0
174,270.57,6081,10027.71,2,6.86,6255,10298.29,12,89,73,97,77,1
266,270,10883,9588.57,9,6,11149,9858.57,35,216,15,144,123,0
256,265.86,9406,9517.71,9,5.86,9662,9783.57,32,164,60,128,127,1
422,278.57,10177,9694.14,7,5.29,10599,9972.71,32,228,162,214,203,0
278,272.57,10838,9627,11,5.86,11116,9899.57,17,189,72,135,143,1
385,288.71,9812,9452,14,7.57,10197,9740.71,26,255,104,181,202,0
280,294.43,5771,8995.43,0,7.43,6051,9289.86,17,107,156,147,133,0
249,305.14,6300,9026.71,1,7.29,6549,9331.86,11,114,124,134,111,1
263,304.71,11531,9119.29,5,6.71,11794,9424,37,294,-68,132,131,1
432,329.86,9638,9152.43,7,6.43,10070,9482.29,31,264,137,239,192,1
464,335.86,10758,9235.43,9,6.71,11222,9571.29,27,269,168,250,216,1
520,370.43,8607,8916.71,0,5.14,9127,9287.14,25,319,176,255,259,1
539,392.43,8555,8737.14,11,4.71,9094,9129.57,31,321,187,290,254,0
457,417.71,6024,8773.29,0,4.71,6481,9191,11,186,260,248,207,0
315,427.14,5612,8675,0,4.57,5927,9102.14,14,143,158,162,153,1
601,475.43,12180,8767.71,7,4.86,12781,9243.14,39,391,171,300,302,0
540,490.86,12068,9114.86,2,4.14,12608,9605.71,36,354,150,292,249,0
539,501.57,12339,9340.71,7,3.86,12878,9842.29,37,318,184,316,219,1
579,510,9607,9483.57,3,4.29,10186,9993.57,36,351,192,295,286,1
738,538.43,6084,9130.57,0,2.71,6822,9669,19,305,414,369,369,0
522,547.71,4474,8909.14,0,2.71,4996,9456.86,12,242,268,254,267,0
484,571.86,4802,8793.43,0,2.71,5286,9365.29,16,186,282,238,246,1
495,556.71,12099,8781.86,9,3,12594,9338.57,37,420,38,257,238,1
598,565,10138,8506.14,2,3,10736,9071.14,44,406,148,321,274,1
754,595.71,12404,8515.43,2,2.29,13158,9111.14,43,452,259,392,360,1
845,633.71,11857,8836.86,5,2.57,12702,9470.57,40,459,346,440,406,1
926,660.57,11093,9552.43,7,3.57,12019,10213,31,446,449,452,472,0
769,695.86,6848,9891.57,-1,3.43,7617,10587.43,27,276,466,409,359,0
494,697.29,6127,10080.86,0,3.43,6621,10778.14,26,183,285,254,236,1
964,764.29,13716,10311.86,6,3,14680,11076.14,42,540,382,492,472,0
821,796.14,13104,10735.57,1,2.86,13925,11531.71,31,472,318,460,360,1
900,817,13371,10873.71,4,3.14,14271,11690.71,45,515,340,457,444,0
880,822,12527,10969.43,2,2.71,13407,11791.43,63,502,315,474,406,1
978,829.43,11446,11019.86,10,3.14,12424,11849.29,51,569,358,539,436,0
830,838.14,7259,11078.57,1,3.43,8089,11916.71,25,338,467,461,368,0
703,868,6289,11101.71,2,3.71,6992,11969.71,22,288,393,372,330,1
1117,889.86,13371,11052.43,13,4.71,14488,11942.29,65,708,344,553,568,0
712,874.29,14068,11190.14,6,5.43,14780,12064.43,31,609,72,373,339,1
1052,896,14212,11310.29,13,6.71,15264,12206.29,48,560,444,543,493,0
1018,915.71,16438,11869,0,6.43,17456,12784.71,54,585,379,553,470,0
953,912.14,13248,12126.43,13,6.86,14201,13038.57,41,584,328,463,490,1
957,930.29,9021,12378.14,1,6.86,9978,13308.43,26,376,555,522,433,0
590,914.14,6356,12387.71,1,6.71,6946,13301.86,26,256,308,298,292,1
762,863.43,13662,12429.29,13,6.71,14424,13292.71,73,587,102,386,375,1
870,886,13824,12394.43,5,6.57,14694,13280.43,46,519,305,481,388,1
1059,887,16211,12680,8,5.86,17270,13567,51,633,375,525,535,0
832,860.43,14547,12409.86,15,8,15379,13270.29,47,585,200,434,398,1
1062,876,13796,12488.14,13,8,14858,13364.14,44,617,401,548,508,0
922,871,8721,12445.29,1,8,9643,13316.29,36,407,479,468,447,0
404,844.43,6769,12504.29,1,8,7173,13348.71,15,216,173,214,190,1
728,839.57,17410,13039.71,12,7.86,18138,13879.29,51,603,74,365,366,1
884,841.57,16139,13370.43,9,8.43,17023,14212,43,624,217,467,415,0
839,810.14,16867,13464.14,8,8.43,17706,14274.29,55,627,157,453,386,1
989,832.57,13097,13257,12,8,14086,14089.57,49,552,388,505,486,1
1165,847.29,11997,13000,6,7,13162,13847.29,50,719,396,609,558,0
621,804.29,6797,12725.14,2,7.14,7418,13529.43,20,327,274,303,318,0
507,819,7660,12852.43,0,7,8167,13671.43,31,268,208,261,245,1
724,818.43,12875,12204.57,8,6.43,13599,13023,61,556,107,353,371,0
478,760.43,9446,11248.43,5,5.86,9924,12008.86,33,427,18,255,223,1
